StartTime,DiscoveryTime,Name,Address,Type,BondState,BtClass
1485837366249,1485837366401,014_6.0.1,C0:EE:FB:3C:02:99,1,10,524
1485837366249,1485837366448,18_6.0.1,C0:EE:FB:30:73:F7,1,10,524
1485837366249,1485837366477,007_6.0.1X,74:23:44:33:EE:1E,1,10,524
1485837366249,1485837366682,38_5.0.2,F4:F1:E1:AF:38:D3,1,10,524
1485837366249,1485837366868,012_7.0,94:65:2D:00:6C:48,1,10,524
1485837366249,1485837366919,021_5.1,34:BB:26:6B:61:59,1,10,524
1485837366249,1485837366955,008_6.0.1X,78:02:F8:CB:D4:0E,1,10,524
1485837366249,1485837366988,045_6.0.1,B4:EF:FA:51:22:BD,1,10,524
1485837366249,1485837367020,044_6.0.1,AC:C1:EE:B1:CF:C8,1,10,524
1485837366249,1485837367195,024_6.0.x,74:23:44:3A:F3:EE,1,10,524
1485837366249,1485837367443,006_Nougat,88:79:7E:7B:6B:47,1,10,524
1485837366249,1485837367591,5_lollipop,00:EE:BD:2A:BF:43,1,10,524
1485837366249,1485837368042,028_5.0.2,58:44:98:B4:0E:C5,1,10,524
1485837366249,1485837368121,42_4.2.2,4C:21:D0:CB:C8:E0,3,10,524
1485837366249,1485837368153,009_6.0.1X,64:CC:2E:B0:9F:6D,1,10,524
1485837366249,1485837368203,022_7.0,C0:EE:FB:DD:22:99,1,10,524
1485837366249,1485837368268,004_7.0,C0:EE:FB:EC:91:5D,1,10,524
1485837366249,1485837368611,Pulzz.D4F3,D9:D4:4C:F1:D4:F3,2,10,7936
1485837366249,1485837368855,31_6.0,54:27:58:B9:BD:C5,1,10,524
1485837366249,1485837369002,L28T_00082,20:91:48:43:4C:35,2,10,7936
1485837366249,1485837369462,033_5.1.1,A0:E4:53:D0:70:55,1,10,524
1485837366249,1485837370029,034_601,30:5A:3A:BC:8B:42,1,10,524
1485837366249,1485837370132,039_5.0,AC:9E:17:02:C9:57,1,10,524
1485837366249,1485837370624,010_4.2,14:F6:5A:6D:92:52,1,10,524
1485837366249,1485837370657,011_5.1.1.X,B0:E2:35:5F:58:14,1,10,524
1485837366249,1485837370701,013_5.0.2,0C:48:85:69:10:EF,1,10,524
