StartTime,DiscoveryTime,Name,Address,Type,BondState,BtClass
1485837359580,1485837359634,32_4.4.4,EC:88:92:CB:02:C3,1,10,524
1485837359580,1485837359740,044_6.0.1,AC:C1:EE:B1:CF:C8,1,10,524
1485837359580,1485837359777,011_5.1.1.X,B0:E2:35:5F:58:14,1,10,524
1485837359580,1485837359818,023_5.1,40:78:6A:B2:97:F9,1,10,524
1485837359580,1485837359847,004_7.0,C0:EE:FB:EC:91:5D,1,10,524
1485837359580,1485837359866,040_5.1.1x,38:A4:ED:E8:17:1C,1,10,524
1485837359580,1485837359992,010_4.2,14:F6:5A:6D:92:52,1,10,524
1485837359580,1485837360032,31_6.0,54:27:58:B9:BD:C5,1,10,524
1485837359580,1485837360086,007_6.0.1X,74:23:44:33:EE:1E,1,10,524
1485837359580,1485837360223,028_5.0.2,58:44:98:B4:0E:C5,1,10,524
1485837359580,1485837360455,045_6.0.1,B4:EF:FA:51:22:BD,1,10,524
1485837359580,1485837360639,42_4.2.2,4C:21:D0:CB:C8:E0,3,10,524
1485837359580,1485837360863,019_6.0.1X,78:02:F8:89:D6:FE,1,10,524
1485837359580,1485837360891,048_Gingerbread,D4:87:D8:B7:98:19,1,10,524
1485837359580,1485837361102,vivo V3,DC:1A:C5:4D:8C:3C,1,10,524
1485837359580,1485837361287,010_6.0.1,D8:3C:69:34:9F:E1,1,10,524
1485837359580,1485837361322,42_4.2.2,4C:21:D0:CB:C8:E0,3,10,524
1485837359580,1485837361382,5_lollipop,00:EE:BD:2A:BF:43,1,10,524
1485837359580,1485837361779,51_6.0.1,B4:EF:FA:93:BF:FF,1,10,524
1485837359580,1485837361823,036_6.0.1X,64:09:80:CE:1E:A7,1,10,524
1485837359580,1485837362031,38_5.0.2,F4:F1:E1:AF:38:D3,1,10,524
1485837359580,1485837362063,037_iOS,60:A3:7D:14:40:42,1,10,524
1485837359580,1485837362391,001_7.1.1,64:BC:0C:F7:7E:EE,1,10,524
1485837359580,1485837362437,009_6.0.1X,64:CC:2E:B0:9F:6D,1,10,524
1485837359580,1485837362482,006_Nougat,88:79:7E:7B:6B:47,1,10,524
1485837359580,1485837362541,012_7.0,94:65:2D:00:6C:48,1,10,524
1485837359580,1485837362988,013_5.0.2,0C:48:85:69:10:EF,1,10,524
1485837359580,1485837363077,021_5.1,34:BB:26:6B:61:59,1,10,524
1485837359580,1485837363288,026_7.1.1,C4:43:8F:71:8D:47,1,10,524
1485837359580,1485837363895,041_6.0.1x,38:A4:ED:CD:54:48,1,10,524
1485837359580,1485837364070,034_601,30:5A:3A:BC:8B:42,1,10,524
1485837359580,1485837364287,008_6.0.1X,78:02:F8:CB:D4:0E,1,10,524
1485837359580,1485837364325,51_6.0.1,B4:EF:FA:93:BF:FF,1,10,524
1485837359580,1485837364496,022_7.0,C0:EE:FB:DD:22:99,1,10,524
1485837359580,1485837365529,18_6.0.1,C0:EE:FB:30:73:F7,1,10,524
1485837359580,1485837366233,040_5.1.1x,38:A4:ED:E8:17:1C,1,10,524
1485837359580,1485837366310,024_6.0.x,74:23:44:3A:F3:EE,1,10,524
1485837359580,1485837366633,009_6.0.1X,64:CC:2E:B0:9F:6D,1,10,524
1485837359580,1485837368417,014_6.0.1,C0:EE:FB:3C:02:99,1,10,524
1485837359580,1485837368534,015_7.0,88:79:7E:7B:6D:00,1,10,524
1485837359580,1485837368587,033_5.1.1,A0:E4:53:D0:70:55,1,10,524
1485837359580,1485837372044,016_6.0,A4:70:D6:4D:CD:B8,1,10,524
1485837375960,1485837376045,51_6.0.1,B4:EF:FA:93:BF:FF,1,10,524
1485837375960,1485837376225,18_6.0.1,C0:EE:FB:30:73:F7,1,10,524
1485837375960,1485837376308,Pulzz.D4F3,D9:D4:4C:F1:D4:F3,2,10,7936
1485837375960,1485837376432,32_4.4.4,EC:88:92:CB:02:C3,1,10,524
1485837375960,1485837376474,007_6.0.1X,74:23:44:33:EE:1E,1,10,524
1485837375960,1485837376910,008_6.0.1X,78:02:F8:CB:D4:0E,1,10,524
1485837375960,1485837376958,25_6.01,28:BA:B5:BA:2A:E2,1,10,524
1485837375960,1485837377099,004_7.0,C0:EE:FB:EC:91:5D,1,10,524
1485837375960,1485837377137,009_6.0.1X,64:CC:2E:B0:9F:6D,1,10,524
1485837375960,1485837377222,013_5.0.2,0C:48:85:69:10:EF,1,10,524
1485837375960,1485837377272,037_iOS,60:A3:7D:14:40:42,1,10,524
